#,Image URL,Name,Subtitle,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
0001,https://img.pokemondb.net/sprites/scarlet-violet/icon/bulbasaur.png,Bulbasaur,,"['Grass', 'Poison']",318,45,49,49,65,65,45
0002,https://img.pokemondb.net/sprites/scarlet-violet/icon/ivysaur.png,Ivysaur,,"['Grass', 'Poison']",405,60,62,63,80,80,60
0003,https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur.png,Venusaur,,"['Grass', 'Poison']",525,80,82,83,100,100,80
0003,https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur-mega.png,Venusaur,Mega Venusaur,"['Grass', 'Poison']",625,80,100,123,122,120,80
0004,https://img.pokemondb.net/sprites/scarlet-violet/icon/charmander.png,Charmander,,['Fire'],309,39,52,43,60,50,65
0005,https://img.pokemondb.net/sprites/scarlet-violet/icon/charmeleon.png,Charmeleon,,['Fire'],405,58,64,58,80,65,80
0006,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard.png,Charizard,,"['Fire', 'Flying']",534,78,84,78,109,85,100
0006,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-x.png,Charizard,Mega Charizard X,"['Fire', 'Dragon']",634,78,130,111,130,85,100
0006,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-y.png,Charizard,Mega Charizard Y,"['Fire', 'Flying']",634,78,104,78,159,115,100
0007,https://img.pokemondb.net/sprites/scarlet-violet/icon/squirtle.png,Squirtle,,['Water'],314,44,48,65,50,64,43
0008,https://img.pokemondb.net/sprites/scarlet-violet/icon/wartortle.png,Wartortle,,['Water'],405,59,63,80,65,80,58
0009,https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise.png,Blastoise,,['Water'],530,79,83,100,85,105,78
0009,https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise-mega.png,Blastoise,Mega Blastoise,['Water'],630,79,103,120,135,115,78
0010,https://img.pokemondb.net/sprites/scarlet-violet/icon/caterpie.png,Caterpie,,['Bug'],195,45,30,35,20,20,45
0011,https://img.pokemondb.net/sprites/scarlet-violet/icon/metapod.png,Metapod,,['Bug'],205,50,20,55,25,25,30
0012,https://img.pokemondb.net/sprites/scarlet-violet/icon/butterfree.png,Butterfree,,"['Bug', 'Flying']",395,60,45,50,90,80,70
0013,https://img.pokemondb.net/sprites/scarlet-violet/icon/weedle.png,Weedle,,"['Bug', 'Poison']",195,40,35,30,20,20,50
0014,https://img.pokemondb.net/sprites/scarlet-violet/icon/kakuna.png,Kakuna,,"['Bug', 'Poison']",205,45,25,50,25,25,35
0015,https://img.pokemondb.net/sprites/scarlet-violet/icon/beedrill.png,Beedrill,,"['Bug', 'Poison']",395,65,90,40,45,80,75
0015,https://img.pokemondb.net/sprites/scarlet-violet/icon/beedrill-mega.png,Beedrill,Mega Beedrill,"['Bug', 'Poison']",495,65,150,40,15,80,145
0016,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgey.png,Pidgey,,"['Normal', 'Flying']",251,40,45,40,35,35,56
0017,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeotto.png,Pidgeotto,,"['Normal', 'Flying']",349,63,60,55,50,50,71
0018,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeot.png,Pidgeot,,"['Normal', 'Flying']",479,83,80,75,70,70,101
0018,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeot-mega.png,Pidgeot,Mega Pidgeot,"['Normal', 'Flying']",579,83,80,80,135,80,121
0019,https://img.pokemondb.net/sprites/scarlet-violet/icon/rattata.png,Rattata,,['Normal'],253,30,56,35,25,35,72
0019,https://img.pokemondb.net/sprites/scarlet-violet/icon/rattata-alolan.png,Rattata,Alolan Rattata,"['Dark', 'Normal']",253,30,56,35,25,35,72
0020,https://img.pokemondb.net/sprites/scarlet-violet/icon/raticate.png,Raticate,,['Normal'],413,55,81,60,50,70,97
0020,https://img.pokemondb.net/sprites/scarlet-violet/icon/raticate-alolan.png,Raticate,Alolan Raticate,"['Dark', 'Normal']",413,75,71,70,40,80,77
0021,https://img.pokemondb.net/sprites/scarlet-violet/icon/spearow.png,Spearow,,"['Normal', 'Flying']",262,40,60,30,31,31,70
0022,https://img.pokemondb.net/sprites/scarlet-violet/icon/fearow.png,Fearow,,"['Normal', 'Flying']",442,65,90,65,61,61,100
0023,https://img.pokemondb.net/sprites/scarlet-violet/icon/ekans.png,Ekans,,['Poison'],288,35,60,44,40,54,55
0024,https://img.pokemondb.net/sprites/scarlet-violet/icon/arbok.png,Arbok,,['Poison'],448,60,95,69,65,79,80
0025,https://img.pokemondb.net/sprites/scarlet-violet/icon/pikachu.png,Pikachu,,['Electric'],320,35,55,40,50,50,90
0025,https://img.pokemondb.net/sprites/scarlet-violet/icon/pikachu-lets-go.png,Pikachu,Partner Pikachu,['Electric'],430,45,80,50,75,60,120
0026,https://img.pokemondb.net/sprites/scarlet-violet/icon/raichu.png,Raichu,,['Electric'],485,60,90,55,90,80,110
