Move Name,Type,Category,Power,Accuracy,PP,Effect,Probability (%)
"10,000,000 Volt Thunderbolt",Electric,Special,195.0,,1.0,Pikachu-exclusive Z-Move. High critical hit ratio.,
Absorb,Grass,Special,20.0,100,25.0,User recovers half the HP inflicted on opponent.,
Accelerock,Rock,Physical,40.0,100,20.0,User attacks first.,
Acid,Poison,Special,40.0,100,30.0,May lower opponent's Special Defense.,10.0
Acid Armor,Poison,Status,,,20.0,Sharply raises user's Defense.,
Acid Downpour,Poison,,,,1.0,Poison type Z-Move.,
Acid Spray,Poison,Special,40.0,100,20.0,Sharply lowers opponent's Special Defense.,100.0
Acrobatics,Flying,Physical,55.0,100,15.0,Stronger when the user does not have a held item.,
Acupressure,Normal,Status,,,30.0,Sharply raises a random stat.,
Aerial Ace,Flying,Physical,60.0,∞,20.0,Ignores Accuracy and Evasiveness.,
Aeroblast,Flying,Special,100.0,95,5.0,High critical hit ratio.,
After You,Normal,Status,,,15.0,Gives target priority in the next turn.,
Agility,Psychic,Status,,,30.0,Sharply raises user's Speed.,
Air Cutter,Flying,Special,60.0,95,25.0,High critical hit ratio.,
Air Slash,Flying,Special,75.0,95,15.0,May cause flinching.,30.0
All-Out Pummeling,Fighting,,,,1.0,Fighting type Z-Move.,
Alluring Voice,Fairy,Special,80.0,100,10.0,,
Ally Switch,Psychic,Status,,,15.0,User switches with opposite teammate.,
Amnesia,Psychic,Status,,,20.0,Sharply raises user's Special Defense.,
Anchor Shot,Steel,Physical,80.0,100,20.0,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,
Ancient Power,Rock,Special,60.0,100,5.0,May raise all user's stats at once.,10.0
Apple Acid,Grass,Special,80.0,100,10.0,Lowers target's Special Defense.,100.0
Aqua Cutter,Water,Physical,70.0,100,20.0,High critical hit ratio.,
Aqua Jet,Water,Physical,40.0,100,20.0,User attacks first.,
Aqua Ring,Water,Status,,,20.0,Restores a little HP each turn.,
Aqua Step,Water,Physical,80.0,100,10.0,Raises user's Speed.,100.0
Aqua Tail,Water,Physical,90.0,90,10.0,,
Arm Thrust,Fighting,Physical,15.0,100,20.0,Hits 2-5 times in one turn.,
Armor Cannon,Fire,Special,120.0,100,5.0,Lowers user's Defense and Special Defense.,
Aromatherapy,Grass,Status,,,5.0,Cures all status problems in your party.,
Aromatic Mist,Fairy,Status,,,20.0,Raises Special Defense of an ally.,
Assist,Normal,Status,,,20.0,User performs a move known by its allies at random.,
Assurance,Dark,Physical,60.0,100,10.0,Power doubles if opponent already took damage in the same turn.,
Astonish,Ghost,Physical,30.0,100,15.0,May cause flinching.,30.0
Astral Barrage,Ghost,Special,120.0,100,5.0,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,
Attack Order,Bug,Physical,90.0,100,15.0,High critical hit ratio.,
Attract,Normal,Status,,100,15.0,"If opponent is the opposite gender, it's less likely to attack.",
Aura Sphere,Fighting,Special,80.0,∞,20.0,Ignores Accuracy and Evasiveness.,
Aura Wheel,Electric,Physical,110.0,100,10.0,Changes type based on Morpeko's Mode.,100.0
Aurora Beam,Ice,Special,65.0,100,20.0,May lower opponent's Attack.,10.0
